,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,,,,,,,,,,,,,,,,,,
13,RUS,23@1@,20,PER,332,14,PER,35@,14,GRO,332@,11,GRO**,224@,13,RUS,323@,16,NOR,23@2,14,GAS,22@2,19,PER,431,10,NOR,@44,16,SAI,5@3,18,GRO,322,7,BOT,4@31,9,ALB**,223,17,SAI,223@,20,GAS,@44,17,NOR,233@,10,MAG,@34,15,BOT,3@22@,7,GRO,4@22$,11,BOT,$332,10,HAM**,332,13,RIC,3@12,16,BOT,35@1,9,STR,$43,17,RUS,35@,16,RAI,@53,11,MAG,@44,19,SAI,4@4,15,RUS,@33,18,GRO**,322@,11,RIC,24@2,15,MAG,4@4,16,GRO,@53,11,GAS,333@,21,GRO,2231@,9,RAI,332@,9,NOR,@34,12,NOR,$45,9,NOR,$341,11,MAG,2@2@2,18,RAI,44@,11,KVY,2222,19,LEC,2222,8,NOR,$332,12,GRO,323@,15,LEC,3@22,13,RAI,@43,11,RIC,333,16,GRO,$44,14,GRO,123@,16,NOR,332,7,LEC,2222,10,PER,$332,11,SAI,223@,14,ALB,35@,10,RAI,$332,11,NOR,2231@,10,GRO,35@,18,RIC,332,18,NOR,$332,12,STR,35@,16,NOR,35@,12,PER,35@,12,SAI,224@,14,RAI,$322,13,NOR,4@31,13,GAS,$223,17,ALB,@332,10,,,
14,KVY,1212@,14,STR,44,16,RIC,5@3,19,NOR,233@,10,MAG,3@3@2,15,STR,323@,11,KVY,23@2@,15,MAG,@231,14,KVY,4@31,15,RUS,332@,22,NOR,@44,12,RIC,23@2,17,PER,35@,13,MAG,@34,12,GAS,223@,22,BOT,4@22,12,SAI,@44,15,KVY,223@,21,GAS,@331,21,RUS,@44,23,GAS,$332,17,KVY,3@23@,17,GRO,13@2,15,KVY,@45,13,SAI,$43,13,PER,332,7,PER,5@3,15,VET,332@,10,PER,@53,16,GRO,23@1@,11,BOT,3@22,13,RAI,2222,8,GAS,332@,24,RIC,35@,18,RAI,@54,9,MAG,@332,11,LEC,332,14,SAI,@43,14,LEC,4$4$1@,11,SAI,$44,18,LAT,12@3@,16,PER,332,16,GRO,224@,15,GRO,33@2@,16,LEC,$332,13,SAI,323,13,RAI,34@,8,GRO,331@,14,SAI,333,21,RUS,$44,20,LEC,2@121@,12,SAI,44@,15,PER,24@2,16,RUS,$44,18,MAG,223@,19,NOR,@44,13,OCO,$332,16,ALB,35@,13,MAG,@44,12,RAI**,44,9,STR,$431,13,SAI,332,15,RAI,332,13,HAM**,4@31,13,STR,4@31@,16,BOT,$331,11,GRO,332@,10,NOR,$223,13,NOR,3@221@,12,,,
15,BOT,112@2@,9,OCO,233,20,MAG,332$,14,RUS,4@4,24,PER,4@22,12,GAS,224@,18,RIC,322@,18,RIC,22@2,20,GRO,@53,18,PER,@44,13,KVY,233@,16,PER,@34,12,RUS,4@4,22,LAT,223,18,STR,4@3,15,GRO,323,14,GAS,323,21,RUS,34@,18,SAI,@34,16,KVY,23@3@,16,RIC,$44,20,SAI,3@23@,18,KVY,2@2@2,19,PER,5@4,16,PER,$34,14,RIC,35@,15,SAI,@53,13,STR,35@,22,MAG,35@,14,RIC,3@21,15,GRO,322,17,GRO,3@23,14,OCO,35@,20,LEC,332,8,GIO,@45,18,PER,24@2@,16,RIC,@44,17,STR,223,21,STR,$45,16,LEC,$44,15,ALB,2@112,9,SAI,44@,15,SAI,33@2,14,RUS,3@23@,18,OCO,$332,15,LAT,23@3,19,PER,23@2,14,MAG,23@2@,13,KVY,4@32,20,NOR,$332,13,GAS,2@22@,23,LEC,332,12,NOR,24@2@,13,BOT,$332,9,KVY,23@2@,16,RUS,4@4,22,STR,$431,14,GAS,@44,20,RUS,5@3,19,KVY,224@,15,RIC,$332,16,GRO,5@3,17,GRO,@53,17,NOR,@44,11,GRO,35@,18,RIC,$322,15,GAS,233@,17,RAI,$331,12,LAT,23@3@,17,,,
16,GAS,23@1,21,HAM**,332,11,STR,44,17,OCO,@44,20,LAT,24@2,20,NOR,3@23@,15,OCO,223@,16,KVY,12@21@,16,OCO,@44,22,KVY,233,15,GAS,@44,22,KVY,@34,16,KVY,233,17,NOR,23@2@,10,PER,@34,12,OCO,224@,18,ALB*,6@2,14,GRO,24@1,13,LAT,23@2,24,OCO,224@,22,OCO,$332,12,LAT,3@23,21,GAS,3@21,21,OCO,333,22,RIC,$43,18,GAS,233,21,GRO,44@,16,RAI,332,11,RIC,35@,17,PER,123@,14,NOR,2221,14,PER,23@3,13,GRO,@53,13,STR,5@3,16,RUS,5@4,22,NOR,2222,10,LAT,4@4,21,MAG,23@2,18,SAI,$54,14,GAS,$332,21,GAS,222,21,RUS,5@3,20,RUS,23@3@,21,MAG,23@21,15,SAI,$44,18,NOR,24@2@,11,RUS,3@22@,17,KVY,322@,21,RAI,333,12,GAS,$44,23,PER,2@2@2,14,GAS,4@31,23,STR,323,20,LEC,$332,14,RIC,34@,17,MAG,224@,16,LEC,$332,15,KVY,233,17,NOR,24@2,15,STR,5@3,22,GRO,$332,15,KVY,4@31@,14,BOT,332,11,MAG,4@22,16,KVY,24@2,17,GRO,$331,17,GIO,@44,19,GRO,$34,18,PER,224@,15,,,
17,NOR,1212@,12,GAS,233@,22,NOR,4@31$,13,LAT,24@2,17,NOR,3@3@2,11,OCO,224@,12,LEC,23@2@,21,OCO,12@21@,21,SAI,5@3,17,MAG,@44,14,BOT,4@31,8,RUS,223,20,GAS,@44,16,GAS,@34,15,MAG,@34,14,NOR,24@2,13,RUS,332,23,LAT,223,23,RUS,@34,22,GAS,3@3@2$,19,STR,$332,13,GAS,24@2@,20,MAG,2@121,17,GAS,5@4,20,GAS,$34,23,NOR,4@31@,11,GAS,5@3,20,OCO,44@,20,LAT,@44,24,KVY,1221,21,LEC,@34,20,RUS,323@,19,SAI,44,17,SAI,44,17,PER,35@1,12,GAS,2222@,22,PER,35@,15,GAS,322,20,RIC,$45,19,STR,$53,13,ALB**,11121@,12,MAG,@44,14,MAG,3@23@,18,SAI,323@,13,RIC,$44,16,GIO,224@,20,MAG,2221@,18,STR,@34,17,RUS,36@,19,LEC,$44,15,KVY,123@,22,PER,35@,16,RIC,@44,19,RIC,$44,17,GRO,@34,15,PER,332,15,RUS,$44,20,SAI,332,15,KVY,323,20,GAS,35@,23,OCO,$2231,17,RIC,@44,19,LAT,@44,24,LAT,4@31@,20,LAT,23@3,21,KVY,$223,23,PER,332,15,RIC,$331,15,STR,233@,20,,,
18,PER,123@,13,RIC,@44,17,SAI,332$,15,KVY,4@22,19,KVY,24@2@,19,MAG,23@3,19,MAG,@34,17,RUS,3@12,24,RIC,5@3,20,SAI,@53,17,STR,44@,19,NOR,23@2,14,NOR,224@,12,RIC,4@3,20,LAT,3@22,18,MAG,24@2,15,LAT,233@,20,PER,@34,14,PER,3@22@,12,NOR,3@23,15,SAI,$44,23,ALB,2222@,9,RUS,3@21@,24,GIO,333,21,GRO,$43,16,SAI,24@2,20,LAT,@53,19,KVY,25@1,16,RUS,35@,22,STR,222@,20,SAI,322,23,KVY,123@2,23,PER,332@,14,GAS,5@3,19,GRO,@54,14,STR,323,18,STR,5@3,19,RIC,322@,17,GAS,4$3$2,23,KVY,$44,22,KVY,1221,23,OCO,35@,22,STR,3@23@,16,PER,24@2,14,RUS,$44,20,PER,3@23,14,RIC,@34,21,RUS,322@,23,PER,35@1@,11,KVY,$332,18,STR,3@21,17,MAG,4@31,13,MAG,2222@,15,OCO,$332,16,PER,@34,13,LAT,@44,18,MAG,$323,22,GIO,24@2,21,LEC,332,21,MAG,24@2,13,GAS,$323,21,PER,4@31,13,RUS,53,16,RUS,@53,18,MAG,2222,13,RUS,$322,18,RIC,35@,20,GIO,$223,21,RUS,23@3,22,,,
19,GIO,12@12@,19,LAT,332,24,KVY,@44,18,SAI,4@31,18,STR,4@22,18,SAI,24@2,23,GAS,3@3@1,19,BOT,12@12@,11,GAS,24@2@,16,STR,35@,24,MAG,24@2@,14,LAT,3@22@,24,RIC,@53,20,RUS,34@,21,KVY,3@22,17,GIO,@332,22,KVY,2222,17,GIO,23@2,19,STR,223@,19,LAT,24@2,24,LAT,$332,24,NOR,24@2,16,LAT,@222,23,MAG,4@32@,15,OCO,$34,24,GIO,@44,22,KVY,332@,21,SAI,332,15,NOR,332@,13,LEC,1122@,13,GAS,322,12,STR,24@2,22,RIC,4@4,18,KVY,@44,21,MAG,333,15,LAT,23@3@,20,RUS,332,22,KVY,24@1,16,RUS,$54,22,RIC,$44,16,RIC,2@22,17,GAS,@44,21,PER,2222@,13,GIO,3@3@2,17,GRO,$44,17,GAS,4@22,22,KVY,3@22@,20,GAS,24@1@,20,BOT,4@32@,10,SAI,$44,16,MAG,2@2@2,15,RIC,35@,18,LAT,224@,22,SAI,$332,20,STR,23@2@,20,KVY,233,20,SAI,$332,19,RIC,4@31@,18,BOT,332@,13,LAT,24@2,19,SAI,$431,19,GIO,@44,18,SAI,@44,19,STR,332@,19,GIO,3@3@2,19,SAI,$223,19,LAT,35@,21,SAI,$331,19,RIC,3@3@2,18,,,
20,MAG,2@3@1,15,NOR,224@,15,OCO,4@31$,21,MAG,4@22@,16,RUS,4@31@,24,KVY,323,21,LAT,23@2@,24,PER,112@2@,13,MAG,24@2,19,OCO,233@,21,RIC,24@2@,15,GAS,@43,22,SAI,332@,19,STR,3@22,23,RUS,223@,24,LAT,3@4@1,24,MAG,2222,16,GAS,34@,17,RIC,3@22,18,MAG,224@,12,RUS,$44,18,RUS,24@2,24,PER,112@2@,9,RUS,5@4,23,GIO,$34,19,LAT,@44,24,GIO,332,17,LAT,4@4,23,STR,5@3,23,OCO,2@22,22,MAG,2221@,19,LAT,24@2,24,RUS,5@3,22,LAT,4@4,24,OCO,4@32,19,RIC,34@1,17,GIO,233@,24,LAT,@34,23,MAG,3$3$3,17,RUS,$44,17,RUS,2@2@2,20,RIC,@44,17,GAS,3@23@,22,STR,323@,21,LAT,$332,24,STR,24@2,23,STR,3@22,19,RIC,@43,19,GAS,2331,17,OCO,$332,19,RIC,1221,18,RUS,44@,21,RUS,@332,23,GIO,$332,22,GAS,3@22,18,RIC,5@3,19,RIC,$431,17,STR,35@,19,OCO,4@22,14,NOR,224@,12,LAT,$332,24,GAS,24@2,23,KVY,233@,22,GAS,@44,23,GAS,3@23@,22,OCO,$223,16,MAG,@44,18,MAG,$223,16,KVY,2222@,23,,,
21,OCO,2@112,23,SAI,332,19,LAT,332$,22,GIO,224@,22,GAS,323@,23,RIC,3@3@2$,17,SAI,34@,23,LAT,1113@,22,RUS,@44,21,GAS,4@22,18,GIO,@44,20,GIO,@322,21,LAT,24@2@,24,GIO,3@22,24,GIO,23@2,23,RIC,3@23@,19,OCO,4@31,24,STR,23@2,24,LEC,3@22@,9,RIC,33@2$,18,NOR,$332,16,RIC,323@,19,BOT,11112,7,RIC,432,18,MAG,$34,20,KVY,4@22,23,STR,@53,22,GAS,332,18,KVY,233,18,SAI,2112,19,GIO,2221,22,SAI,33@2@,16,KVY,224@,15,MAG,4@4,15,SAI,@45,24,OCO,2222,23,GAS,5@3,23,RUS,23@2@,19,OCO,3$4#$2,21,OCO,$332,20,OCO,123@,24,STR,44,18,OCO,2222@,23,GAS,@332,23,KVY,$332,23,KVY,3@23@,16,GIO,223@,22,GIO,@34,18,MAG,333@,22,MAG,$332,22,GIO,112@2@,19,LAT,332,24,GAS,3@23@,21,KVY,$332,23,GIO,3@22,21,GAS,@44,24,GIO,$233,21,LAT,233,24,SAI,24@2,23,RUS,4@4,21,RUS,$431,18,RUS,@44,24,GAS,@44,20,GIO,@44,22,RIC,3@23,20,GAS,$322,22,STR,44,16,RUS,$331,23,MAG,3@3@2,19,,,
22,SAI,23@1@,18,RUS,@44,21,GIO,4@31$,20,RIC,24@2,15,GIO,23@3,21,BOT,2222$,14,BOT,3@22@,13,ALB,112@2@,10,LAT,24@2,24,GIO,224@,20,RUS,332@,24,SAI,331@,19,OCO,4@22,23,OCO,@34,22,NOR,24@1,16,SAI,323,23,STR,4@31,19,SAI,3@22,20,GIO,23@2@,20,GIO,3@23,21,MAG,$332,19,STR,2222,15,LEC,112@2@,12,STR,6@3,19,RUS,$43,22,STR,332,14,RIC,332,18,RIC,332@,17,GAS,332@,21,GIO,112@2,23,LAT,23@2@,24,GAS,4@3@1,18,GIO,24@2,23,OCO,@44,22,LAT,34@2@,17,KVY,3@221@,21,MAG,332@,13,GIO,@34,22,KVY,3$3$3@,18,MAG,$332,19,STR,12@12@,19,LAT,35@,24,LAT,@332,24,LAT,2222,24,GAS,$431,22,MAG,23@3@,17,LAT,24@1,16,LAT,223@,24,LAT,4@32@,24,RIC,$44,17,RUS,2@3@1,20,KVY,4@31@,19,OCO,3@23@,24,GAS,$431,21,OCO,23@2,24,STR,4@4,21,GAS,$323,18,MAG,2222,16,GAS,2222@,16,OCO,224@,24,MAG,$2222,20,LAT,24@2,20,GIO,4@31@,21,KVY,24@2,21,PER,24@2@,15,GIO,$223,20,KVY,@44,22,KVY,$322,22,GIO,2222,16,,,
23,STR,@222,22,KVY,4@22,18,GAS,5@3,23,STR,4@31,21,OCO,2222@,22,GIO,3@3@2$,22,RUS,331@,20,SAI,1113@,17,GIO,4@22,23,LAT,4@31,23,OCO,4@31@,21,OCO,@34,23,STR,4@31@,21,SAI,3@31,16,OCO,2221@,21,LEC,2222,16,RIC,24@2@,18,RIC,3@22@,16,ALB,3@22@,13,STR,2222$,17,GIO,$332,22,GIO,23@3@,22,GIO,112@2@,22,SAI,34@2@,17,LAT,$34,15,MAG,4@22@,19,RUS,5@3,23,RUS,332@,24,GIO,@44,20,LAT,2@112,24,RIC,331,18,OCO,3@221,21,STR,341@,19,GIO,332@,20,KVY,24@3@,20,RUS,@332,24,KVY,@44,18,PER,@34,15,GIO,3$3$3,20,GIO,$332,23,SAI,112@2@,15,KVY,24@2,23,RIC,@341,20,OCO,23@21,22,GIO,$332,21,OCO,2222,24,OCO,23@2@,24,PER,223@,15,GIO,25@2,23,GIO,$332,21,OCO,2@2@2,24,GIO,332@,20,KVY,223@1,18,MAG,$332,19,RUS,322@,22,OCO,@44,23,LAT,$332,24,RUS,@44,22,LAT,4@31@,24,PER,4@31@,17,KVY,$2222,23,OCO,224@,22,RIC,332,14,RIC,24@2,17,RUS,34@1,23,MAG,$223,21,RUS,44@,24,OCO,$223,20,GAS,3221,24,,,
24,LAT,11112@,24,GIO,2222,23,RUS,@53,24,GAS,@53,23,RIC,34@1,17,LAT,2222$,24,GIO,3@22@,22,GRO,12@12,8,NOR,4@22,13,RIC,4@22,19,LAT,25@1,23,STR,223@,18,GIO,4@22@,18,KVY,4@21@,19,RIC,@34,19,RUS,4@22@,21,GIO,2222@,22,OCO,24@1,22,OCO,24@1@,23,SAI,2222$,20,KVY,4$3$1@,21,OCO,224@,23,OCO,2@112@,20,LAT,333@,24,KVY,$43,21,OCO,24@2,17,OCO,5@3,24,GIO,4@31@,21,OCO,44@,19,ALB,2@112,7,RUS,331@,16,GIO,3@221,20,LAT,332@,21,RUS,332,23,NOR,2322,23,GIO,23@21,19,OCO,332,20,OCO,24@1,24,LAT,4$4$1@,24,LAT,$341,24,GIO,2@112@,22,GIO,35@,19,GIO,23@21@,17,RIC,332,19,MAG,$332,19,RIC,34@1@,21,GAS,@43,23,OCO,@34,22,OCO,4@32,18,LAT,$341,24,LAT,12@12@,21,OCO,44@,22,GIO,23@21,17,LAT,$332,24,LAT,24@1,23,GIO,2222,17,KVY,$2222,23,OCO,2231,23,GIO,2222@,22,GIO,2222@,20,GIO,$2222,22,MAG,2222,21,MAG,4@31@,23,OCO,4@31@,24,OCO,24@2@,24,LAT,$223,24,OCO,4@31,23,LAT,$223,24,OCO,23@21@,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,RAI,7,,,,,RAI,7,,,,,RAI,7,,,,,,,,RAI,7,,RAI,8,,RAI,7,,GRO19,9,,ALB,8,,ALB,8,,RAI,7,,RAI,7,,,,,RAI,8,,RAI,7,,RAI,7,,RAI,8,,,,,GRO,10,,,,,,,,RAI,7,,GRO,10,,RAI,7,,RAI,8,,RAI,7,,HAM,3,,RAI,6,,RAI,7,,,,,RAI,7,,RAI,7,,RAI,7,,,,,,,,RAI,7,,RAI,7,,RAI,7,,RAI,8,,HAM,3,,ALB,7,,ALB,7,,ALB,8,,ALB,7,,HAM,4,,ALB,8,,ALB,7,,GRO,9,,ALB,7,,ALB,7,,HAM,5,,ALB,8,,GRO,10,,HAM,4,,ALB,6,,ALB,8,,GRO,10,,ALB,8,,RAI,6,,GRO,10,,HAM,3,,RAI,8,,HAM,5,,RAI,7,,,,
,,,,,,,GRO,10,,,,,GRO,10,,,,,HAM,5,,,,,,,,GRO,10,,ALB,8,,ALB,7,,GIO19,10,,RAI,8,,RAI,8,,ALB,7,,ALB,7,,,,,ALB,8,,ALB,7,,ALB,7,,HAM,4,,,,,ALB,7,,,,,,,,ALB,7,,RAI,7,,ALB,7,,ALB,8,,GRO,10,,PER,8,,ALB,7,,ALB,8,,,,,ALB,7,,ALB,7,,ALB,7,,,,,,,,ALB,7,,ALB,8,,GRO,9,,GRO,10,,RAI,7,,RAI,8,,RAI,8,,RAI,8,,RAI,7,,RAI,7,,RAI,7,,RAI,6,,RAI,6,,RAI,7,,RAI,7,,RAI,8,,RAI,7,,RAI,6,,RAI,7,,RAI,6,,RAI,8,,RAI,7,,RAI,8,,HAM,3,,ALB,6,,ALB,7,,GRO,10,,RAI,8,,GRO,10,,,,
,,,,,,,87,,,,,,87,,,,,,76,,,,,,,,,82,,,69,,,56,,,84,,,51,,,85,,,71,,,61,,,,,,85,,,70,,,61,,,85,,,,,,62,,,,,,,,,73,,,87,,,62,,,74,,,82,,,80,,,68,,,90,,,,,,62,,,70,,,82,,,,,,,,,82,,,82,,,69,,,85,,,77,,,81,,,78,,,84,,,71,,,71,,,73,,,63,,,67,,,73,,,68,,,80,,,85,,,77,,,79,,,81,,,73,,,70,,,80,,,69,,,82,,,61,,,73,,,85,,,83,,,,,
,,,,,,,51,,,,,,51,,,,,,50,,,,,,,,,58,,,45,,,44,,,57,,,43,,,52,,,59,,,61,,,,,,59,,,52,,,42,,,59,,,,,,63,,,,,,,,,60,,,51,,,68,,,60,,,58,,,60,,,63,,,58,,,,,,68,,,52,,,41,,,,,,,,,53,,,53,,,57,,,52,,,50,,,53,,,60,,,66,,,53,,,59,,,62,,,45,,,53,,,62,,,52,,,51,,,52,,,54,,,50,,,47,,,52,,,62,,,52,,,46,,,53,,,62,,,58,,,58,,,54,,,,,
,,,,,,,57,,,,,,57,,,,,,68,,,,,,,,,60,,,47,,,54,,,45,,,57,,,63,,,68,,,68,,,,,,63,,,70,,,53,,,63,,,,,,65,,,,,,,,,55,,,57,,,66,,,63,,,60,,,58,,,61,,,57,,,,,,66,,,70,,,55,,,,,,,,,59,,,59,,,63,,,63,,,61,,,62,,,58,,,61,,,70,,,68,,,57,,,56,,,56,,,57,,,56,,,61,,,63,,,58,,,61,,,52,,,54,,,60,,,62,,,63,,,59,,,63,,,76,,,61,,,51,,,,,
