,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?
,BEL,0,0,BRA,0,0,HUN,0,0,SPA,0,0,AUS,0,0,AUS,1,0,VIE,1,0,BEL,0,0,SPA,0,0,SPA,0,0,SPA,0,0,VIE,0,0,GBR,1,0,BEL,0,0,GBR,1,0,SPA,0,0,GBR,0,0,VIE,0,0,VIE,0,0,AUS,1,0,SPA,0,0,VIE,0,0
1,VET,222@,3,RAI*,44@,4,ALB,332,3,RAI**,44@,2,VET,@44,2,RAI**,332,3,VER,223,2,RAI**,222,4,RAI**,332,7,ALB*,323,6,RAI**,332,6,RAI*,223,5,HAM,$331,,VET,222,,HAM,322,,GIO**,341,2,RAI**,223,,HAM,223,1,RAI**,322,5,VER,24@2@,2,VET,44,2,RAI**,232,4
2,RAI**,222,11,RAI,332,3,RAI*,4@4,5,RAI*,332,5,RAI*,5@3,7,VET,5@3,5,HAM,3@22@,1,ALB**,222,5,HAM,44@,1,HAM,332@,1,ALB*,323,7,VER,223@,2,VER,$331,,RAI*,222,,VER,4@3,,RAI*,$24,7,RAI*,@43,,VET,322,3,RAI*,223,7,VET,35@,3,RAI*,4@4,9,VER,322,2
3,VER,@33,2,GRO,332,10,HAM,@53,1,ALB**,44@,6,HAM,@53,1,ALB**,4@22,6,RAI**,223,9,VET,222@,3,RAI*,323,5,ALB,35@,4,VET,332,2,VET,322,3,ALB**,$34,,HAM,3@12,,ALB,3@22,,HAM,@53,1,HAM,24@1,,RAI*,322,7,ALB**,232,8,HAM,@53,1,ALB,35@,5,RAI*,223,7
4,HAM,13@2@,1,ALB*,5@3,12,VER,@53,2,HAM,332,1,ALB*,@44,10,HAM,24@2,1,RAI*,@43,10,RAI*,@33,9,VER,35@,3,VER,44@,5,HAM,332@,1,ALB*,322,6,VET,$43,,RAI**,3@12,,RAI,@43,,VER,4@4,3,RAI,34@,,RAI**,223,8,VER,223@,2,RAI**,5@3,8,VER,44@,4,ALB*,322,11
5,RAI,2@22,5,ALB**,332,11,RAI**,35@,6,VER,35@,2,VER,323@,3,RAI*,5@3,9,VET,@34,4,ALB*,@33,15,ALB*,5@3,12,VET,5@3,2,ALB**,332,10,HAM,4@3,1,RAI**,$43,,VER,@33,,VET,34@,,ALB,35@,5,VET,23@2,,VER,23@2,2,HAM,34@,1,ALB**,4@22@,7,RAI,4@4,3,HAM,34@,1
6,RAI*,222,6,VER,@53,1,ALB*,5@3,10,ALB*,5@3,14,BOT,@44,9,ALB*,@44,10,HAM**,3@22@,3,VER,13@2,2,ALB**,332,6,GRO**,332,12,RAI*,4@4,9,RAI,223,4,ALB,$331,,RAI,@33,,ALB*,@43,,LEC,4@4,10,BOT,3@22,,ALB*,322,14,ALB*,@43,13,ALB*,@44,9,LEC,35@,7,ALB**,232,10
7,ALB*,@33,10,VET,44@,6,VET,@53,4,VET,35@,7,RAI,4@22,4,VER,2231$,2,ALB,23@2@,5,HAM,3@12@,1,VET,44@,4,RAI*,5@3,10,RAI,5@3,3,ALB**,322,15,RAI,$331,,ALB*,222,,RAI*,@43,,ALB*,@44,11,HAM**,223,,BOT,@34,5,BOT,223,6,ALB,24@2,5,RAI**,4@4,6,ALB,23@2,5
8,HAM**,222,16,HAM,@53,2,GRO**,5@3,11,RAI,4@4,4,ALB,224@,6,PER,24@2,7,PER,3@22@,7,RAI,3@12@,6,RAI,35@,2,RAI,4@4,3,VER,5@3,4,RAI**,322,13,ALB*,$34,,ALB,@222,,GRO**,322,,RAI,35@,4,VER,223@,,ALB,223@,4,VET,@43,3,RAI*,5@3,10,GRO,5@3,13,VET,223@,3
9,LEC,13@2,7,LEC,332,5,LEC,35@,8,ALB,35@,9,RAI**,2222@,5,RAI,24@2@,4,RAI,@43,6,LEC,13@2@,7,STR,35@,14,RAI**,4@4,7,ALB,@44,5,ALB,223@,10,PER,$223,,KVY,2@22,,ALB**,2221@,,GRO**,332,8,ALB*,@43,,PER,223,11,ALB,23@2,10,RAI,224@,4,HAM,@53,1,NOR,2221,12
10,GRO,3@21,8,ALB,35@,9,BOT,@44,7,LEC,4@4,13,LEC,24@2@,8,ALB,24@2@,8,STR,4@3,11,GRO,13@2@,8,LEC,332,11,LEC,332@,8,PER,35@,11,LEC,23@2@,9,RAI*,$43,,MAG**,@222,,PER,223@,,VET,35@,6,ALB,@34,,LEC,23@2,9,GRO,223,9,STR,4@22@,11,BOT,4@31,8,RAI,322@,6
11,ALB,1113@,4,MAG,233,13,RAI,35@,9,BOT,@44,8,GRO,@44,14,LEC,@44,20,GRO,23@2@,12,NOR,2@13@,12,BOT,332@,8,GRO,@53,9,GRO,35@,17,MAG,2221,11,STR,$232,,SAI,222,,MAG,@34,,GRO,332,15,MAG,3@22@,,GRO,4@3,13,RAI,34@,4,PER,233@,6,ALB**,332,12,LEC,@34,8
12,RIC,12@3@,17,BOT,35@,7,GRO,5@3,12,PER,332,12,SAI,@44,16,GRO,323@,13,ALB*,233,8,STR,@33,18,ALB,@44,9,BOT,@44,11,LEC,4@4,13,BOT,@34,8,GAS,$223,,GAS,3@21,,KVY,223@@43,,MAG,@44,14,KVY,2221@,,RAI,@43,6,LEC,23@2,11,KVY,3@23@,20,PER,35@,11,BOT,223,9
13,RUS,23@1@,20,PER,332,14,PER,35@,14,GRO,332@,11,GRO**,224@,13,RUS,323@,16,NOR,23@2,14,GAS,22@2,19,PER,431,10,NOR,@44,16,SAI,5@3,18,GRO,322,7,BOT,$331,,STR,3@21@,,RIC,2221,,BOT,4@31,9,GRO,4@3@,,ALB**,223,17,SAI,223@,20,GAS,@44,17,NOR,233@,10,MAG,@34,15
14,KVY,1212@,14,STR,44,16,RIC,5@3,19,NOR,233@,10,MAG,3@3@2,15,STR,323@,11,KVY,23@2@,15,MAG,@231,14,KVY,4@31,15,RUS,332@,22,NOR,@44,12,RIC,23@2,17,OCO,$223,,PER,@222,,BOT,3@3@1,,PER,35@,13,PER,223@,,MAG,@34,12,GAS,223@,22,BOT,4@22,12,SAI,@44,15,KVY,223@,21
15,BOT,112@2@,9,OCO,233,20,MAG,332$,14,RUS,4@4,24,PER,4@22,12,GAS,224@,18,RIC,322@,18,RIC,22@2,20,GRO,@53,18,PER,@44,13,KVY,233@,16,PER,@34,12,KV,$322,,BOT,1113@,,OCO,322@,,RUS,4@4,22,GIO,23@2@,,LAT,223,18,STR,4@3,15,GRO,323,14,GAS,323,21,RUS,34@,18
16,GAS,23@1,21,HAM**,332,11,STR,44,17,OCO,@44,20,LAT,24@2,20,NOR,3@23@,15,OCO,223@,16,KVY,12@21@,16,OCO,@44,22,KVY,233,15,GAS,@44,22,KVY,@34,16,NOR,$223,,MAG,1221@,,RUS,2221,,KVY,233,17,STR,34@,,NOR,23@2@,10,PER,@34,12,OCO,224@,18,ALB*,6@2,14,GRO,24@1,13
17,NOR,1212@,12,GAS,233@,22,NOR,4@31$,13,LAT,24@2,17,NOR,3@3@2,11,OCO,224@,12,LEC,23@2@,21,OCO,12@21@,21,SAI,5@3,17,MAG,@44,14,BOT,4@31,8,RUS,223,20,GIO,$223,,RIC,213@,,NOR,223@,,GAS,@44,16,NOR,3@22@,,GAS,@34,15,MAG,@34,14,NOR,24@2,13,RUS,332,23,LAT,223,23
18,PER,123@,13,RIC,@44,17,SAI,332$,15,KVY,4@22,19,KVY,24@2@,19,MAG,23@3,19,MAG,@34,17,RUS,3@12,24,RIC,5@3,20,SAI,@53,17,STR,44@,19,NOR,23@2,14,RUS,$331,,NOR,12@21@,,GRO,3@22@,,NOR,224@,12,LAT,@34,,RIC,4@3,20,LAT,3@22,18,MAG,24@2,15,LAT,233@,20,PER,@34,14
19,GIO,12@12@,19,LAT,332,24,KVY,@44,18,SAI,4@31,18,STR,4@22,18,SAI,24@2,23,GAS,3@3@1,19,BOT,12@12@,11,GAS,24@2@,16,STR,35@,24,MAG,24@2@,14,LAT,3@22@,24,MAG,$223,,LEC,1122,,STR,3@22,,RIC,@53,20,GAS,322,,RUS,34@,21,KVY,3@22,17,GIO,@332,22,KVY,2222,17,GIO,23@2,19
20,MAG,2@3@1,15,NOR,224@,15,OCO,4@31$,21,MAG,4@22@,16,RUS,4@31@,24,KVY,323,21,LAT,23@2@,24,PER,112@2@,13,MAG,24@2,19,OCO,233@,21,RIC,24@2@,15,GAS,@43,22,LEC,$331,,RUS,23@1@,,SAI,3@22,,SAI,332@,19,OCO,@34,,STR,3@22,23,RUS,223@,24,LAT,3@4@1,24,MAG,2222,16,GAS,34@,17
21,OCO,2@112,23,SAI,332,19,LAT,332$,22,GIO,224@,22,GAS,323@,23,RIC,3@3@2$,17,SAI,34@,23,LAT,1113@,22,RUS,@44,21,GAS,4@22,18,GIO,@44,20,GIO,@322,21,GRO,$331,,OCO,13@2@,,GAS,33@1,,LAT,24@2@,24,LEC,23@2,,GIO,3@22,24,GIO,23@2,23,RIC,3@23@,19,OCO,4@31,24,STR,23@2,24
22,SAI,23@1@,18,RUS,@44,21,GIO,4@31$,20,RIC,24@2,15,GIO,23@3,21,BOT,2222$,14,BOT,3@22@,13,ALB,112@2@,10,LAT,24@2,24,GIO,224@,20,RUS,332@,24,SAI,331@,19,RIC,$322,,GRO,222,,LAT,24@1,,OCO,4@22,23,SAI,24@1,,OCO,@34,22,NOR,24@1,16,SAI,323,23,STR,4@31,19,SAI,3@22,20
23,STR,@222,22,KVY,4@22,18,GAS,5@3,23,STR,4@31,21,OCO,2222@,22,GIO,3@3@2$,22,RUS,331@,20,SAI,1113@,17,GIO,4@22,23,LAT,4@31,23,OCO,4@31@,21,OCO,@34,23,SAI,$322,,GIO,@222,,LEC,2221@,,STR,4@31@,21,RUS,2221,,SAI,3@31,16,OCO,2221@,21,LEC,2222,16,RIC,24@2@,18,RIC,3@22@,16
24,LAT,11112@,24,GIO,2222,23,RUS,@53,24,GAS,@53,23,RIC,34@1,17,LAT,2222$,24,GIO,3@22@,22,GRO,12@12,8,NOR,4@22,13,RIC,4@22,19,LAT,25@1,23,STR,223@,18,LAT,$223,,LAT,12@12@,,GIO,3@3@1,,GIO,4@22@,18,RIC,2221@,,KVY,4@21@,19,RIC,@34,19,RUS,4@22@,21,GIO,2222@,22,OCO,24@1,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,RAI,7,,,,,RAI,7,,,,,RAI,7,,,,,,,,RAI,7,,RAI,8,,RAI,7,,RAI,8,,MAG,10,,GRO,10,,GRO19,9,,,,,ALB,8,,ALB,8,,RAI,7,,RAI,7,,,,
,,,,,,,GRO,10,,,,,GRO,10,,,,,HAM,5,,,,,,,,GRO,10,,ALB,8,,ALB,7,,ALB,8,,RAI,7,,ALB,7,,GIO19,10,,,,,RAI,8,,RAI,8,,ALB,7,,ALB,7,,,,
,,,,,,,87,,,,,,87,,,,,,76,,,,,,,,,82,,,69,,,56,,,81,,,61,,,62,,,84,,,,,,51,,,85,,,71,,,61,,,,,
,,,,,,,51,,,,,,51,,,,,,50,,,,,,,,,58,,,45,,,44,,,59,,,62,,,63,,,57,,,,,,43,,,52,,,59,,,61,,,,,
,,,,,,,57,,,,,,57,,,,,,68,,,,,,,,,60,,,47,,,54,,,66,,,65,,,61,,,45,,,,,,57,,,63,,,68,,,68,,,,,
