Wet Q,RAI Q,ALB Q,Wet R,RAI R,ALB R,RAI str,ALB str,mistake?,,,,,RUS
,,,,,,,,,,,1,2,rus
1,8,14,1,6,7,$44,$332,0,,13,14,15,rus
0,4,10,0,1,6,33@2,4@22,0,,6,20,21,rus
1,5,14,1,6,5,$44,$332,0,,9,29,30,rus
0,3,5,0,1,2,332,332,SC,,2,31,32,rus
1,8,5,1,3,2,4$3$1,3$3$2,rai break,,9,40,41,rus
,,,,,,,,,,,1,2,por
0,2,18,1,1,DNF,323,323,alb DNF,,16,17,18,por
,,,,,,,,,,,1,2,eif
0,4,15,0,2,1,323@,4@22,,,22,23,24,eif
,,,,,,,,,,,1,2,mov
1,4,5,1,2,3,$332,$323,,,27,28,29,mov
1,4,8,1,1,4,$323,$332,,,11,39,40,mov
,,,,,,,,,,,1,2,tur
0,5,6,0,3,1,323@,233@,,,1,2,3,tur
0,2,14,0,1,6,323@,4@22,,,6,8,9,tur
,,,,,,,,,,6,14,15,tur
0,7,4,0,2,4,332,242,,,10,24,25,tur
0,4,9,0,1,2,323@,4@22,,,11,35,36,tur
,,,,,,,,,,,1,2,win
0,5,8,1,2,3,32$3$,4@2$2$,,,24,25,26,win
1,6,4,1,2,1,$44,$332,,,11,36,37,win
,,,,,,,,,,,1,2,xmas
0,5,9,0,2,3,323@,4@22,,,28,29,30,xmas
,,,,,,,,,,,,,
2,3,4,5,6,7,8,9,10,,,,,
0.38,4.8,9.3,0.50,2.3,3.3,,,,,,,,